ï»¿MBARI_dive_number,Push_core_number,Date_Collected,Latitude,Longitude,Water_Depth,Water_Temperature,Salinity,Oxygen,Sample_Upper_Depth_Limit,Sample_Lower_Depth_Limit,Material_Radiocarbon_Dated,Radiocarbon_Sample_Weight,NOSAMS_Accession_Number,Fraction_Modern,Fraction_Modern_Error,Conventional_Radiocarbon_Age,Conventional_Radiocarbon_Age_Error, Delta_13C _per_mil , Delta_14C _per_mil ,Delta_R_years_BP,Delta_R_error_years_BP,Median_Calibrated_Age_years_2_sigma,Calibrated_Age_Corrected_Error_years ,Total_Ammoglobigerina_ globigeriniformis,Living_Ammoglobigerina_globigeriniformis,Total_Astrononion_hamadaense,Total_Bolivina_spissa,Living_Bolivina_spissa,Total_Bolivina_subadvena,Total_Bolivina_spp.,Total_Bolivinella_pacifica,Living_Bolivinella_pacifica,Total_Bolivinella_seminuda,Total_Bulimina_barbata,Total_Bulimina_spinifera,Total_Bulimina_striata,Living_Bulimina_striata,Total_Cassidulina_translucens,Total_Cassidulina_spp.,Total_Cassidulinoides_parkeriana,Living_Cassidulinoides_parkeriana,Total_Chilostomella_oolina,Living_Chilostomella_oolina,Total_Chilostomella_ovoidea,Total_Chilostomellina_fimbriata,Total_Cibicides_spp.,Total_Cibicidoides_mckannai,Living_Cibicidoides_mckannai,Total_Cibicidoides_cf._C._pseudoungerianus,Living_Cibicidoides_cf._C._pseudoungerianus,Total_Cibicidoides_wuellerstorfi,Living_Cibicidoides_wuellerstorfi,Total_Cornuspira_involvens,Total_Cribroelphidium_batiale,Total_Cribroelphidium_sp.,Total_Cribrostomoides_subglobosus,Living_Cribrostomoides_subglobosus,Total_Cyclammina_sp.,Total_Eggerella_pusilla,Living_Eggerella_pusilla,Total_Eggerelloides_advenus,Total_Epistominella_exigua,Total_Epistominella_smithi,Total_Eratidus_foliaceus,Living_Eratidus_foliaceus,Total_Eubuliminella_exilis,Living_Eubuliminella_exilis,Total_Euloxostomum_pseudobeyrichi,Total_Fissurina_lucida,Total_Fissurina_spp.,Total_Fursenkoina_bramlettei,Living_Fursenkoina_bramlettei,Total_Fursenkoina_complanata,Living_Fursenkoina_complanata,Total_Fursenkoina_sp.,Total_Globobulimina_auriculata,Living_Globobulimina_auriculata,Total_Globobulimina_pacifica,Total_Globobulimina_spp.,Total_Globocassidulina_minuta,Total_Goesella_flintii,Living_Goesella_flintii,Total_Gyroidina_altiformis,Living_Gyroidina_altiformis,Total_Gyroidinoides_cf._G._planulatus,Total_Haplophragmoides_neobradyi,Total_Hoeglundina_elegans,Total_Homalohedra_acuticosta,Total_Hyalinonetrion_elongatum,Total_Ioanella_tumidula,Living_Ioanella_tumidula,Total_Islandiella_californica,Living_Islandiella_californica,Total_Karreriella_baccata,Total_Labrospira_columbiensis,Living_Labrospira_columbiensis,Total_Lagena_hispida,Total_Lagena_striata,Total_Lagena_sulcata,Total_Lagena_spp.,Total_Lagenammina_atlantica,Living_Lagenammina_atlantica,Total_Lenticulina_orbicularis,Living_Lenticulina_orbicularis,Total_Lenticulina_sp.,Total_Loxostomum_sp.,Total_Martinottiella_communis,Living_Martinottiella_communis,Total_Nodulina_dentaliniformis,Total_Nonionella_digitata,Total_Nonionella_cf._N._iridea,Total_Nonionellina_labradorica,Total_Oridorsalis_umbonatus,Total_Paratrochammina_charlottensis,Living_Paratrochammina_charlottensis,Total_Procerolagena_distoma,Total_Pseudofavulina_catenulata,Total_Pseudoparrella_pacifica,Living_Pseudoparrella_pacifica,Total_Pullenia_salisburyi,Total_Pyrgo_murrhina,Living_Pyrgo_murrhina,Total_Pyrgo_spp.,Total_Quinqueloculina_spp.,Total_Recurvoidella_bradyi,Total_Reophax_agglutinatus,Total_Reophax_curtus,Living_Reophax_curtus,Total_Reophax_scorpiurus,Living_ Reophax_scorpiurus,Total_Reophax_sp._A,Total_Reophax_spp.,Total_Reussoolina_laevis,Total_Rhabdammina_abyssorum,Total_Rotaliammina_squamiformis,Living_Rotaliammina_squamiformis,Total_Silicosigmoilina_sp.,Living_Silicosigmoilina_sp.,Total_Siphouvigerina_hispida,Total_Siphouvigerina_proboscidea,Living_Siphouvigerina_proboscidea,Total_Spirillina_vivipara,Living_Spirillina_vivipara,Total_Spiroplectammina_biformis,Living_Spiroplectammina_biformis,Total_Takayanagia_delicata,Living_Takayanagia_delicata,Total_Textularia_earlandi,Total_Textulariella_sp.,Living_Textulariella_sp.,Total_Trifarina_angulosa,Total_Triloculina_tricarinata,Total_Trochammina_inflata,Total_Trochammina_vesicularis,Total_Trochammina_spp.,Total_Uvigerina_peregrina,Living_Uvigerina_peregrina,Total_Uvigerina_sp.,Total_Valvulineria_araucana,Total_Veleroninoides_cf._V._veleronis,Living_Veleroninoides_cf._V._veleronis,Total_Count,Living_Count,Living_specimens_percent,Total_agglutinated_specimens,Total_species_richness,Living_species_richness,Foraminiferal_density
DR64,PsC69,8/8/2009,48.675484,-126.839865,1282.41,2.978,34.4,0.457,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0,0,2.3,3,0,0,0,0,0,0,0,0.9,0,0,0,14.6,14,0,0,0,0,0,2.9,0,2,0,2.9,0,0.3,0,0,6.6,6,0.6,8.6,1,0,0,0,0.9,2,1.1,2,0,0,0,0.3,1,0,0,0,4.6,9,0,0,0,1.7,2,1.4,1,0,0,0,0,0,0,0,3.2,0,0,2,5,0.3,0,0,0,0,0,0.3,1,0,0,0.3,0,0,0,0,0,0,2.3,1,0,0,5.7,0,0,0,0,0,0,0.3,4,2,0,1.1,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0.3,0,0,0,1.1,1,0,3.4,2,0,0,0,0,0,20.6,3,0,0,0.6,1,349,55,17.3,35,34,17,6.1
DR64,PsC69,8/8/2009,48.675484,-126.839865,1282.41,2.978,34.4,0.457,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0,15.4,0,0,0,0,0,0,0.1,0,8.8,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.7,0,0,0,0,0.3,0,0,0,0,1.4,1,2.5,1,0.2,0,0.1,0,0,0,0,0,0.3,0,0.2,0,0.1,0.2,0,0,0,0.5,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.6,1.6,0,0.1,0,0.2,0,5.5,1,0,0,0,0,0,0,0,0,42.2,1,0,0,0,0,883,5,0.7,2.5,25,5,112.1
DR64,PsC69,8/8/2009,48.675484,-126.839865,1282.41,2.978,34.4,0.457,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,17.7,0,0,0,0,0,0.5,0,0,15.6,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.5,0,0,0,0,0.1,0,0,0,0,0,0,1.7,0,1.5,0,0,0,0,0,0,0,0.5,0,0.1,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.8,0,0,0,0.1,0,5,0,0,0,0,0,0,0,0,0,28.8,0,0,0,0,0,757,3,0.4,0.3,19,1,911.4
DR64,PsC69,8/8/2009,48.675484,-126.839865,1282.41,2.978,34.4,0.457,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,10.5,2,0.1,0,0,0,0,0,0,18,2,0.3,0,0,0,0,0,0,0.4,0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9,0.6,0,0,0.9,0,1.3,0,0.1,0,0,0,0,0,0.3,1,0,0,0,0.1,0,0.3,0,1,0,0,0,0.1,0.4,2,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.7,1,0,0,0,0,8.5,10,0,0,0,0,0,0.1,0,0,13.9,2,0,0.1,0,0,684,21,3.2,0.3,25,8,2120.9
DR64,PsC69,8/8/2009,48.675484,-126.839865,1282.41,2.978,34.4,0.457,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,7.9,0,0,0,0,0,0.1,0,0,28.1,0,1.5,0,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0.4,4.2,0,0,3.5,0,1.7,0,0,0,0,0,0,0.1,0,0,0,0,0.4,0,0,0.5,0,2.7,0,0,0,0,0,0,0.5,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,743,NA,0,NA,20,NA,3491.3
DR64,PsC72,8/8/2009,48.675433,-126.839862,1282.13,2.982,34.4,0.456,0,3,Cassidulinoides parkeriana,1.03,OS-158449  ,0.7808,0.0037,"1,990",40,-0.7,-224.73,1350,200,184,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DR64,PsC72,8/8/2009,48.675433,-126.839862,1282.13,2.982,34.4,0.456,0,3,mixed benthic foraminifera,2.74,OS-158778  ,0.3242,0.0016,"9,050",40,-1.02,-678.07,1350,200,"7,984",200,0.8,2,0.1,8.6,0,0,0,0,0,0.1,0,0,9.2,4,0.5,0,10.9,10,0,0,0,0.1,0,0.1,0,1.6,1,0.5,1,0,0.8,0,0.2,0,0,0.9,0,0,0,0.7,3.7,2,3.3,2,0.4,0,0,0,0,0,0,0,0.7,0,0,0.1,0,0.7,4,0.4,2,0.9,0,0,0,0.1,0.4,0,2.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,1.3,4,0,0,9.5,0,0,0.1,1,0.1,0,0.1,0.1,0.1,0,0.1,0,0,0,0.1,0,0,0,0.1,1,0.6,1.1,2,0.5,4,1,0,16.4,12,0,0.1,0,0.2,0,0,0,0,20.6,3,0,0,0,0,1396,58,4.4,9.2,44,17,30
DR64,PsC72,8/8/2009,48.675433,-126.839862,1282.13,2.982,34.4,0.456,3,6,mixed benthic foraminifera,5.08,OS-160412  ,0.3057,0.0014,"9,520",35,-0.87,NA,1350,200,"8,509",204,0.5,0,0,9.1,0,0,0,0.1,1,0,0,0,7.4,1,0.2,0,5.3,1,0,0,0,0,0,1.1,0,0.5,0,0.1,0,0,0.8,0,0.3,0,0.1,1.4,0,0,0,0.5,6.9,1,2.6,0,0.3,0,0,0,0,0,0,0,0.1,0,0,0,0,0.3,0,0,0,2.5,0,0,0,0.1,0,0,2.6,2,0.1,0,0,0,0.1,0,0,0.1,1,0,0,0.1,0,0,0,0,0,0,0.1,0.1,5.2,0,0,0,13,0,0.3,0,0,0,0,0.5,0.1,0.2,0,0,0,0.3,0,0.1,0.1,0.2,1,0.5,0,0.2,1.8,1,0.8,0,1.3,0,12.2,0,0,0.3,0,0,0,0,0,0,19.9,0,0,0,0.3,0,1197,9,0.8,18,47,8,33.2
DR64,PsC72,8/8/2009,48.675433,-126.839862,1282.13,2.982,34.4,0.456,6,9,mixed planktic foraminifera,5.06,OS-158779  ,0.1739,0.0014,"14,050",65,0.06,-827.34,350,45,"15,696",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DR64,PsC72,8/8/2009,48.675433,-126.839862,1282.13,2.982,34.4,0.456,6,9,mixed benthic foraminifera,3.77,OS-157991  ,0.1739,0.0019,"14,050",85,-1.05,-827.35,1350,200,"14,253",200,0.3,0,0,12.8,0,0,0,0,0,0,0,0,8.4,0,0.4,0,4.9,0,0.1,0,0,0,0,0.4,0,0.2,0,0,0,0,1,0,0,0,0,0.7,0,0,0,0.5,1.4,0,2.4,1,0.4,0,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0.1,0,0.8,0.2,0,0,0.1,0.1,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,14.9,0,0,0,0,0,0,0,0.3,0.1,0,0.1,0,0,0.1,0,0,0,0,0.2,0,0.2,1.5,0,0,0,0.1,0,11.8,1,0,0,0,0,0,0,0,0,33.4,0,0,0,0,0,1117,2,0.2,3.9,33,2,55.5
